"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","BaualterSort_noDM","BaualterCd_noDM","BaualterLang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2017,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","106",13257,1577500,194589839
2017,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","28",13078,2025000,65174000
2017,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","72",12769,1392500,124150000
2017,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","177",10750,940000,204354730
2017,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","546",12195,1287500,820960236
2018,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","209",11681,1220000,265262264
2018,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","107",12263,1490000,177915568
2018,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","34",12817,1392500,48237000
2018,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","34",13113,1487500,49537760
2018,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","200",10963,920500,225058695
2018,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","584",11696,1172000,766011287
2019,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","104",13291,1395000,150831000
2019,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","76",14996,1550000,146145368
2019,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","40",11174,1300000,64239457
2019,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","20",14438,1437530,33206060
2019,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","208",11585,962500,239152529
2019,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","448",12622,1282500,633574414
2020,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","153",13333,1475000,241892773
2020,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","62",15503,1612642,118376160
2020,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","42",15462,1833500,88682000
2020,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","15",15882,1459000,27225000
2020,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","281",12500,930000,335468196
2020,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","553",13100,1245000,811644128
2021,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","345",12384,1233500,477349000
2021,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","67",16300,1850000,133337751
2021,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","57",13214,1700000,114331516
2021,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","44",13131,1241698,57047777
2021,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","307",13571,947950,371806526
2021,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","820",13143,1233500,1153872571
2022,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","296",13704,1359525,455536612
2022,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","51",17684,1900000,99621807
2022,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","65",14497,2000000,142830166
2022,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","20",18160,1500000,34563440
2022,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","222",15710,1287500,337117091
2022,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","654",14610,1419077,1069669116
2023,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","267",14806,1455000,427873175
2023,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","54",17733,1869000,104001902
2023,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","52",15771,1855000,104196439
2023,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","30",18214,1960000,56430752
2023,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","230",14839,1231873,330530937
2023,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","633",15603,1455000,1023033205
2024,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","144",16595,1600000,237154856
2024,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","57",17677,1800000,103532702
2024,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","57",17424,1815000,126105606
2024,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","55",18724,1969231,107399407
2024,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","359",15920,1354572,526408075
2024,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","672",16667,1475000,1100600645
