"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","BaualterSort_noDM","BaualterCd_noDM","BaualterLang_noDM","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2010,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",1,"1","1-Zimmer","5",12434,408050,3322612
2010,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",1,"1","1-Zimmer","26",8491,270000,9845011
2010,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",1,"1","1-Zimmer","36",9310,307500,17580957
2010,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",2,"2","2-Zimmer","43",7230,550000,26666113
2010,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",2,"2","2-Zimmer","5",10119,850000,5227925
2010,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",2,"2","2-Zimmer","1–3",6607,370000,K
2010,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",2,"2","2-Zimmer","2–4",12450,824380,3070075
2010,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",2,"2","2-Zimmer","29",7520,420000,14021068
2010,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",2,"2","2-Zimmer","82",7590,522500,49355180
2010,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",3,"3","3-Zimmer","117",7736,825000,97869738
2010,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",3,"3","3-Zimmer","11",9043,880000,12845637
2010,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",3,"3","3-Zimmer","23",8026,700000,18718388
2010,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",3,"3","3-Zimmer","12",8823,1063000,16630883
2010,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",3,"3","3-Zimmer","60",7737,582500,38695881
2010,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",3,"3","3-Zimmer","223",8026,800000,184760527
2010,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",4,"4","4-Zimmer","145",7077,920000,141028225
2010,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",4,"4","4-Zimmer","16",9158,1500000,28394556
2010,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",4,"4","4-Zimmer","12",7509,793820,11526858
2010,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",4,"4","4-Zimmer","20",9296,1444500,27772000
2010,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",4,"4","4-Zimmer","61",7345,755000,54956455
2010,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",4,"4","4-Zimmer","254",7493,940000,263678094
2010,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",5,"5","5-Zimmer","62",7714,1120000,68087545
2010,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",5,"5","5-Zimmer","9–11",10201,1430000,15188400
2010,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",5,"5","5-Zimmer","1–3",13444,1765000,K
2010,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",5,"5","5-Zimmer","12",9382,1737500,21008000
2010,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",5,"5","5-Zimmer","24",10038,1318130,33184263
2010,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",5,"5","5-Zimmer","110",8540,1194500,140998208
2010,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",6,"6","6-Zimmer und mehr","15",5151,1050000,19368660
2010,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",6,"6","6-Zimmer und mehr","2–4",10561,2750000,11003333
2010,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",6,"6","6-Zimmer und mehr","1–3",12079,2874700,K
2010,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",6,"6","6-Zimmer und mehr","6",14334,2175000,15252242
2010,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",6,"6","6-Zimmer und mehr","11",8056,1580000,23527462
2010,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",6,"6","6-Zimmer und mehr","37",8056,1660000,72026394
2011,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",1,"1","1-Zimmer","6",7547,313000,2870000
2011,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",1,"1","1-Zimmer","1–3",11832,1430000,K
2011,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",1,"1","1-Zimmer","1–3",10746,362780,K
2011,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",1,"1","1-Zimmer","4",11896,320000,1553681
2011,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",1,"1","1-Zimmer","27",9800,260000,7292407
2011,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",1,"1","1-Zimmer","42",9728,311000,15996643
2011,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",2,"2","2-Zimmer","26",9533,842500,21547129
2011,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",2,"2","2-Zimmer","1–3",10721,1220000,K
2011,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",2,"2","2-Zimmer","7–9",11254,727500,6449000
2011,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",2,"2","2-Zimmer","11",10692,705700,9175975
2011,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",2,"2","2-Zimmer","36",8036,440000,21901272
2011,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",2,"2","2-Zimmer","83",9409,650000,61513376
2011,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",3,"3","3-Zimmer","72",7249,757500,57885189
2011,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",3,"3","3-Zimmer","10",10868,950000,11146000
2011,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",3,"3","3-Zimmer","5",14000,960000,5690000
2011,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",3,"3","3-Zimmer","13",9606,653200,9965510
2011,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",3,"3","3-Zimmer","60",7836,676120,45591891
2011,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",3,"3","3-Zimmer","160",7839,740000,130278590
2011,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",4,"4","4-Zimmer","86",7562,883590,85054133
2011,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",4,"4","4-Zimmer","21",10769,1350000,30457000
2011,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",4,"4","4-Zimmer","6",10241,1320000,7287000
2011,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",4,"4","4-Zimmer","13",12944,1290000,17914000
2011,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",4,"4","4-Zimmer","58",9086,972500,66849151
2011,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",4,"4","4-Zimmer","184",8674,1000000,207561284
2011,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",5,"5","5-Zimmer","25",10285,1610000,39393074
2011,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",5,"5","5-Zimmer","9–11",7770,1345000,15010000
2011,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",5,"5","5-Zimmer","1–3",13808,2237500,K
2011,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",5,"5","5-Zimmer","10",12407,1790000,18069790
2011,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",5,"5","5-Zimmer","32",9009,1075000,43691134
2011,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",5,"5","5-Zimmer","79",9984,1450000,120638998
2011,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",6,"6","6-Zimmer und mehr","1–3",14354,3990000,K
2011,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",6,"6","6-Zimmer und mehr","1–3",4415,828140,K
2011,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",6,"6","6-Zimmer und mehr","1–3",16361,2876660,K
2011,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",6,"6","6-Zimmer und mehr","12",10999,1630000,25897000
2011,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",6,"6","6-Zimmer und mehr","19",10843,1800000,42991099
2012,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",1,"1","1-Zimmer","1–3",9631,497900,K
2012,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",1,"1","1-Zimmer","1–3",5000,130000,K
2012,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",1,"1","1-Zimmer","1–3",13650,1255000,K
2012,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",1,"1","1-Zimmer","34",7022,275000,10183563
2012,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",1,"1","1-Zimmer","39",7586,310000,13819364
2012,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",2,"2","2-Zimmer","23",12755,1250000,25383200
2012,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",2,"2","2-Zimmer","1–3",12725,971500,K
2012,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",2,"2","2-Zimmer","9",8450,500000,5057000
2012,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",2,"2","2-Zimmer","4–6",12077,630000,2855000
2012,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",2,"2","2-Zimmer","29",7979,534400,16811595
2012,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",2,"2","2-Zimmer","68",10508,716000,52049795
2012,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",3,"3","3-Zimmer","70",8361,890960,79518593
2012,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",3,"3","3-Zimmer","8",10544,1169500,9731000
2012,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",3,"3","3-Zimmer","7",10182,990000,6556000
2012,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",3,"3","3-Zimmer","6",9796,887500,5610000
