"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2009,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen",2,"2","2-Zimmer","7–9",12590,915000,8276614
2009,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen",3,"3","3-Zimmer","13–15",11176,1140000,18534197
2009,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen",4,"4","4-Zimmer","17–21",10471,1445000,24417000
2009,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen",5,"5","5-Zimmer","5",10882,1850000,9682386
2009,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen",6,"6","6-Zimmer und mehr","1–3",15293,3260000,K
2009,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach",2,"2","2-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach",3,"3","3-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach",4,"4","4-Zimmer","1–3",6504,930000,K
2009,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge",1,"1","1-Zimmer","1–3",12241,355000,K
2009,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge",2,"2","2-Zimmer","1–3",6339,1160000,K
2009,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge",3,"3","3-Zimmer","1–3",10230,1780000,K
2009,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge",4,"4","4-Zimmer","1–3",9875,1185000,K
2009,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge",5,"5","5-Zimmer","4",9832,1362500,5998142
2009,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge",6,"6","6-Zimmer und mehr","1–3",13711,2180000,K
2009,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3",1,"1","1-Zimmer","6",8362,242500,1495171
2009,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3",2,"2","2-Zimmer","6",7471,459520,3084036
2009,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3",3,"3","3-Zimmer","8",7572,538500,5085500
2009,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3",4,"4","4-Zimmer","1–3",5644,1125000,K
2009,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3",5,"5","5-Zimmer","4-6",6291,1316780,5648401
2009,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon",1,"1","1-Zimmer","1–3",145,4210,K
2009,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon",2,"2","2-Zimmer","1–3",5938,357500,K
2009,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon",3,"3","3-Zimmer","1–3",6095,468500,K
2009,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon",4,"4","4-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon",5,"5","5-Zimmer","1–3",6000,1313560,K
2009,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg",1,"1","1-Zimmer","1–4",8362,242500,1115964
2009,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg",2,"2","2-Zimmer","1–3",8235,469040,K
2009,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg",3,"3","3-Zimmer","1–3",11645,885000,K
2009,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg",4,"4","4-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld",1,"1","1-Zimmer","1–3",9375,375000,K
2009,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld",2,"2","2-Zimmer","1–3",7798,850000,K
2009,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld",3,"3","3-Zimmer","5",8209,550000,3263500
2009,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld",4,"4","4-Zimmer","1–3",5644,1125000,K
2009,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld",5,"5","5-Zimmer","1–3",10882,1850000,K
2009,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4",1,"1","1-Zimmer","5",5862,170000,1290000
2009,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4",2,"2","2-Zimmer","1–3",6383,300000,K
2009,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4",3,"3","3-Zimmer","7",5467,410000,3202000
2009,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4",4,"4","4-Zimmer","2-4",6000,480000,1579000
2009,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd",2,"2","2-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd",3,"3","3-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd",4,"4","4-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse",1,"1","1-Zimmer","1–3",13509,295000,K
